Date,Open,High,Low,Close,Adj Close,Volume
2013-10-06,76.724998,80.394997,76.309998,78.065002,57.228367,50672400
2013-10-13,77.980003,81.790001,77.089996,81.099998,59.453274,35063140
2013-10-20,81.254997,86.199997,80.57,85.040001,62.341633,46802720
2013-10-27,85.209999,88.599998,84.224998,86.535004,63.437599,61812530
2013-11-03,86.535004,88.5,84.614998,86.639999,63.514572,32984380
2013-11-10,86,87.440002,82.540001,86.480003,63.397285,29484360
2013-11-17,87.5,90.900002,86.644997,87.455002,64.112038,40744460
2013-11-24,87.800003,93.345001,87.375,91.855003,67.337616,33140130
2013-12-01,91.525002,94.68,91.199997,92.705002,67.960747,29081170
2013-12-08,94.824997,95.400002,91.800003,92.154999,67.557541,26199570
2013-12-15,92.199997,96.620003,90.125,96.375,70.651169,30658370
2013-12-22,96.305,101,96.220001,100.739998,73.851082,29954570
2013-12-29,101.724998,104,98.599998,99.404999,72.872414,38856370
2014-01-05,99.870003,104.620003,99.650002,102.330002,75.016693,34736990
2014-01-12,102.324997,103.125,98.519997,100.019997,73.323265,29850090
2014-01-19,99.900002,101.025002,96.540001,97.004997,71.112999,22835090
2014-01-26,96,96,88.07,91.735001,67.249649,44468530
2014-02-02,90.885002,91.489998,82.625,86.879997,63.690514,43155700
2014-02-09,87.010002,88.300003,80.400002,83.425003,61.157696,29372010
2014-02-16,83.5,89,81.885002,88.599998,64.951416,28125610
2014-02-23,88.699997,89.860001,84.605003,87.595001,64.214676,32684730
2014-03-02,87.449997,94.695,86.209999,94.084999,68.972389,37792300
2014-03-09,93.525002,98.165001,91.440002,93.940002,68.866104,37772410
2014-03-16,93.940002,98.879997,93.940002,98.144997,71.948723,29911860
2014-03-23,99.105003,101.095001,97.32,98.485001,72.197975,35990450
2014-03-30,98.879997,106.900002,98.599998,106.425003,78.018684,46139160
2014-04-06,106.135002,108.5,104.809998,105.980003,77.692459,24560630
2014-04-13,105.980003,106.949997,99.584999,104.5,76.607491,18553990
2014-04-20,105.790001,113.555,104.955002,111.440002,81.695114,28118870
2014-04-27,111.5,112.900002,104.559998,109.059998,79.950356,24175520
2014-05-04,108.25,113.82,108.25,113.235001,83.010994,22509920
2014-05-11,113.400002,125.190002,111.699997,117.720001,86.298882,31566340
2014-05-18,119.205002,127.199997,118.5,126.589996,92.801361,24473630
2014-05-25,127.5,129.539993,117.135002,121.139999,88.806046,30725520
2014-06-01,122.294998,130.5,121.025002,128.845001,94.45446,40775600
2014-06-08,129.865005,132.695007,125,125.945,92.328506,27366910
2014-06-15,126.489998,128.440002,121.589996,122.029999,89.458481,24124650
2014-06-22,122,126.139999,121.330002,123.139999,90.272209,22712710
2014-06-29,123.025002,130.899994,122.5,127.074997,93.156898,21128660
2014-07-06,126.18,127.489998,112.864998,113.764999,83.399521,35155370
2014-07-13,112.815002,123.400002,112.574997,121.945,97.86792,21649170
2014-07-20,122.5,123.675003,116.050003,117.894997,94.617554,32629200
2014-07-27,117.849998,120.980003,114.5,116.940002,93.85112,25730060
2014-08-03,118.599998,120.139999,113.910004,115.480003,92.679382,23622960
2014-08-10,116.5,127.989998,114.925003,127.400002,102.245872,29436460
2014-08-17,127,130,124.885002,128.975006,103.509903,32154540
2014-08-24,129.5,129.5,123.279999,124.360001,99.806091,24521500
2014-08-31,124.610001,136.649994,118.800003,130.949997,105.094948,34951160
2014-09-07,131.100006,135,130.565002,134.705002,108.108566,20214970
2014-09-14,133.119995,134.660004,127.050003,128.059998,102.775551,28605650
2014-09-21,127.889999,128.744995,117.195,122.360001,98.200974,23545940
2014-09-28,122,125,114.5,117.639999,94.412903,13398930
2014-10-05,117.639999,121.779999,113.129997,114.32,91.748413,19077030
2014-10-12,114.095001,116.400002,107.605003,113.160004,90.817444,32326630
2014-10-19,115.099998,120.980003,111.900002,120.089996,96.379166,13608370
2014-10-26,121.900002,127,118,126.275002,101.342995,36571160
2014-11-02,126.599998,127.495003,120.559998,121.074997,97.169693,12745210
2014-11-09,121.489998,125,119.595001,123.735001,99.304497,30608360
2014-11-16,124,127.199997,118.300003,118.955002,95.468269,25100530
2014-11-23,119.794998,123.379997,117.629997,120.089996,96.379166,22258320
2014-11-30,120,121.955002,115.220001,116.07,93.152885,21279750
2014-12-07,116.205002,116.915001,109.754997,110.660004,88.81105,18139890
2014-12-14,109.550003,111.739998,99.360001,105.650002,84.790237,30677140
2014-12-21,105.709999,108.364998,102.514999,104.629997,83.971626,14838200
2014-12-28,104.794998,108.669998,103.705002,106.915001,85.805473,17109470
2015-01-04,106.915001,108.699997,99.724998,101.294998,81.295105,24056390
2015-01-11,101.004997,101.400002,95.665001,98.044998,78.686783,25126160
2015-01-18,98.599998,102.099998,97.230003,101.529999,81.483704,23877220
2015-01-25,101.529999,102.419998,95.764999,97.745003,78.446014,24468330
2015-02-01,97.824997,100.959999,95.400002,96.084999,77.113777,24913980
2015-02-08,95,99.940002,92.199997,98.599998,79.132202,27927500
2015-02-15,99.199997,105.809998,97,102.425003,82.201996,26141020
2015-02-22,102.800003,103.489998,98.144997,100.964996,81.030243,30600500
2015-03-01,101.699997,102.300003,98.32,99.160004,79.581635,28873270
2015-03-08,99.580002,99.580002,92.720001,94.290001,75.67318,22465950
2015-03-15,95.014999,96.5,91.5,92.095001,73.911568,33516930
2015-03-22,92.195,93.400002,88.019997,91.190002,73.185249,34863700
2015-03-29,91.794998,92.555,89.599998,90.964996,73.004677,19047310
2015-04-05,91.5,96.699997,89.230003,95.190002,76.395485,38043040
2015-04-12,95.199997,97.970001,92.199997,95.625,76.744598,22465770
2015-04-19,96.214996,99.330002,94.5,95.660004,76.77269,40119640
2015-04-26,95.900002,96.589996,92.364998,93.220001,74.814445,30495940
2015-05-03,93.510002,98.684998,87.5,89.025002,71.447716,42806270
2015-05-10,90,91.794998,87,87.629997,70.32814,31061270
2015-05-17,86.800003,93.235001,86.309998,92.214996,74.007866,32912950
2015-05-24,92.910004,93.400002,89.985001,91.629997,73.538376,39558350
2015-05-31,91.510002,91.900002,86.355003,87.650002,70.3442,34733980
2015-06-07,88.400002,90.800003,83.739998,84.32,67.671684,24581290
