Date,Open,High,Low,Close,Adj Close,Volume
2014-10-12,263.091003,274.790985,261.235992,273.673004,255.514389,51257928
2014-10-19,281.609009,289.799988,277.417999,285.635986,266.683624,39298935
2014-10-26,287.700012,296.945007,285.036011,295.755005,276.131226,79243868
2014-11-02,295.635986,307.591003,293.154999,306.30899,285.984924,38807824
2014-11-09,305.582001,312,301.317993,307.69101,287.275269,56352087
2014-11-16,306.72699,316.144989,302.182007,314.673004,293.793976,65958453
2014-11-23,316.364014,323.454987,310,318.981995,297.817047,78090590
2014-11-30,321.091003,332.77301,315.463989,327.091003,305.388031,66239772
2014-12-07,328.091003,329.091003,312.954987,314.817993,293.929352,42686442
2014-12-14,311.635986,325,290.182007,323.635986,302.162231,85072845
2014-12-21,323.182007,329,316.454987,319.045013,297.875916,34693701
2014-12-28,318.182007,330.454987,315.682007,329.364014,307.510193,26298210
2015-01-04,332.091003,334,304.954987,310.77301,290.15274,73112024
2015-01-11,311.591003,323.635986,302.72699,321.682007,300.337921,65922534
2015-01-18,323.182007,341.364014,321.364014,337,314.639557,57058964
2015-01-25,337,357.635986,322.408997,327.908997,306.151733,82177973
2015-02-01,327.545013,327.908997,297.908997,299.408997,279.542786,115364657
2015-02-08,297.72699,314.454987,287.635986,312.591003,291.850128,84663253
2015-02-15,315.408997,315.408997,298.635986,300.864014,280.901245,47437598
2015-02-22,302.72699,306.408997,291.045013,304.77301,284.550842,77958164
2015-03-01,318.954987,329.091003,309.182007,316.135986,295.159912,72232243
2015-03-08,310.908997,314.545013,299.091003,300.182007,280.264465,67797575
2015-03-15,299.545013,310.364014,287.908997,289.635986,270.418213,72192524
2015-03-22,292.77301,293.091003,275.091003,285.954987,266.981476,97191466
2015-03-29,287.545013,294.908997,284.864014,293.77301,274.280731,37648644
2015-04-05,295.864014,295.864014,285.954987,289.364014,270.164246,52090091
2015-04-12,290.817993,293,280.22699,281.908997,263.203918,41430696
2015-04-19,284.454987,288.72699,275.817993,280.22699,261.633514,57708672
2015-04-26,282.454987,304.364014,269.72699,301.045013,281.070221,107555966
2015-05-03,302.5,307.27301,273.27301,288.182007,269.060699,73143472
2015-05-10,290.954987,296.182007,278.635986,283.954987,265.114105,62416108
2015-05-17,286.364014,291.817993,283.408997,285.091003,266.174805,44326976
2015-05-24,283.635986,289.908997,279.545013,288.408997,269.272644,57728848
2015-05-31,288.182007,290,257.27301,258.27301,241.1362,88929530
2015-06-07,259.682007,270.182007,254.863998,269.045013,255.9534,100554102
2015-06-14,268.182007,278.182007,266.545013,276.864014,263.391907,74214155
2015-06-21,278.545013,291.27301,278.22699,283.364014,269.575623,74929441
2015-06-28,274.545013,286.817993,272.864014,285.954987,272.040558,57181525
2015-07-05,281,289.091003,277.5,284.682007,270.829498,50055394
2015-07-12,285.908997,291.817993,283.682007,288.591003,274.548279,47453652
2015-07-19,289.954987,290.72699,272.091003,273.27301,259.975647,67656520
2015-07-26,272.591003,280.817993,257,274.908997,261.532013,102447247
2015-08-02,276.77301,290.72699,276.545013,281.954987,268.235138,77731457
2015-08-09,281.817993,285.454987,263.72699,275.091003,261.705139,51846520
2015-08-16,274.5,278.864014,262.364014,269.545013,256.429047,52728635
2015-08-23,256.72699,263,242.863998,257.908997,245.359238,118306721
2015-08-30,257.182007,258.5,231.5,234.317993,222.916168,89363340
2015-09-06,236.408997,245.455002,225.182007,243.227005,231.391678,93068893
2015-09-13,242.044998,259.408997,239.182007,252.591003,240.300034,62789588
2015-09-20,247.182007,254.863998,240.136002,243.908997,232.040466,49297705
2015-09-27,247.272995,248.591003,233.044998,242.817993,231.002563,59356015
2015-10-04,247.636002,261.72699,247.636002,260.091003,247.435089,49771809
2015-10-11,261.545013,266.091003,256.317993,263.135986,250.331924,34969697
2015-10-18,263.091003,263.545013,253.455002,260.22699,247.564453,28341708
2015-10-25,261.591003,263.408997,244.636002,251.817993,239.564621,64337822
2015-11-01,251.817993,257,240.682007,242.817993,231.002563,51412194
2015-11-08,235.727005,242.182007,232.727005,237.955002,226.376205,32261849
2015-11-15,237.272995,247.591003,235.908997,240.863998,229.143631,55891172
2015-11-22,241.817993,246.363998,233.908997,245.5,233.554062,49375055
2015-11-29,243.817993,252.272995,237.091003,237.682007,226.116486,47928648
2015-12-06,240.272995,240.5,224.682007,226.636002,215.607971,55181106
2015-12-13,224.817993,232.091003,220.955002,227.363998,216.300552,77983603
2015-12-20,227.363998,239.636002,227.272995,234.5,223.089325,53281995
2015-12-27,236.408997,242.272995,234.544998,239.091003,227.456924,45666610
2016-01-03,237.272995,237.591003,221,222.772995,211.932968,68464055
2016-01-10,219.908997,221.727005,201.591003,204.044998,194.116241,81254963
2016-01-17,203.817993,213.544998,198,211.591003,201.295059,91629313
2016-01-24,214.5,217.772995,199.091003,209.227005,199.046097,101306491
2016-01-31,206.363998,206.682007,182.272995,190.363998,181.100952,162867959
2016-02-07,191.817993,195.908997,173.182007,175.955002,167.393097,136607534
2016-02-14,176.272995,188.455002,171.682007,180.727005,171.932892,133696174
2016-02-21,179.544998,183,164.317993,168,159.825165,121253227
2016-02-28,168,204,165.182007,200.455002,190.700943,158898121
2016-03-06,200.455002,200.455002,190.955002,194.408997,184.949127,64614530
2016-03-13,199.091003,214.772995,198.682007,209.272995,199.089859,98109274
2016-03-20,210.5,214.182007,209.636002,212.908997,202.548935,44075201
2016-03-27,212.727005,219.408997,202.182007,216.636002,206.094574,109969802
2016-04-03,218.408997,219.136002,199.227005,201.136002,191.348785,90161266
2016-04-10,202,222,199.182007,218.772995,208.127579,66691710
2016-04-17,221.363998,234.363998,212.817993,229.091003,217.943527,98765620
2016-04-24,230.091003,232.136002,210.272995,215.408997,204.927277,197817905
2016-05-01,206.636002,209.544998,193.817993,198.727005,189.057022,152306772
2016-05-08,199.636002,211.727005,198.817993,205.908997,195.889526,121740801
2016-05-15,207,207.727005,197.908997,200.091003,190.354645,89025210
2016-05-22,201.908997,225.636002,200.317993,221.044998,210.289032,106148490
2016-05-29,221.136002,226.363998,216,221.591003,210.808472,77888434
2016-06-05,221.272995,237.455002,220,229.636002,218.462006,89066510
2016-06-12,225.817993,226.544998,213.772995,216.772995,206.224899,74241160
2016-06-19,212.408997,220.317993,201,209.955002,204.26976,85184905
2016-06-26,208.455002,220.727005,208.455002,218.5,212.583389,58395602
2016-07-03,221,228.272995,217.772995,219.955002,213.998993,36788533
2016-07-10,224.182007,245.317993,224.182007,241.591003,235.049133,92269682
2016-07-17,241.636002,246.591003,235.317993,239.5,233.01474,57680492
2016-07-24,238.091003,249.091003,236.455002,239,232.528275,80108834
2016-07-31,232.636002,237.544998,215.136002,223.591003,217.536545,127491170
2016-08-07,223.727005,225.908997,215.955002,223.591003,217.536545,58282035
2016-08-14,223.591003,232.455002,221.682007,230.817993,224.56781,61231483
2016-08-21,231.136002,231.772995,221.091003,223,216.961533,55692806
2016-08-28,222.727005,240.272995,222.363998,237.544998,231.112671,67496457
2016-09-04,237.544998,257.954987,237.544998,249.182007,242.43457,88419579
2016-09-11,242.727005,250.544998,238.817993,243.044998,236.463745,82516038
2016-09-18,243.636002,252.636002,242.682007,246.591003,239.913712,71775402
2016-09-25,244.091003,244.272995,221.182007,229.227005,223.019928,114353019
2016-10-02,228.182007,236.908997,225.636002,227.817993,221.649063,74664421
2016-10-09,229,230.182007,217.363998,219.772995,213.821915,38109843
