Date,Open,High,Low,Close,Adj Close,Volume
2015-02-01,698,706.5,645.650024,655.049988,645.527649,5462993
2015-02-08,650,701.849976,623.450012,667.25,657.550232,15115057
2015-02-15,670.299988,692,667.549988,675.950012,666.123779,5159146
2015-02-22,678,685.200012,655.400024,669.849976,660.112427,6028369
2015-03-01,683.549988,747.5,681.349976,739.5,728.75,8412255
2015-03-08,739.5,752.849976,701.099976,703.849976,693.618164,7770069
2015-03-15,706.150024,726.799988,683.599976,699.799988,689.627136,9632534
2015-03-22,703.5,718.450012,687.200012,694,683.911438,7685534
2015-03-29,695.099976,717.700012,695.099976,709.599976,699.284668,5573919
2015-04-05,714,746.099976,694,701.150024,690.95752,9817766
2015-04-12,702,717,672.099976,680.400024,670.509155,7121575
2015-04-19,679.799988,683.900024,635,637.650024,628.380554,11252677
2015-04-26,638.799988,642.400024,618.75,636,626.754578,7053758
2015-05-03,642,681.099976,620.400024,654.700012,645.182678,13573303
2015-05-10,667.450012,695.950012,654.25,683.349976,673.41626,10250527
2015-05-17,683.299988,693.900024,667.900024,673.900024,664.103577,5375532
2015-05-24,676.400024,677.5,639.799988,650.450012,640.994446,10277304
2015-05-31,645.5,672.75,620,622.650024,613.598633,7648054
2015-06-07,619.900024,621.700012,571.25,581.650024,573.19458,8728324
2015-06-14,581.700012,622.599976,571.599976,606.650024,597.831238,10324285
2015-06-21,612,634.200012,600,619.299988,610.297241,8665186
2015-06-28,610,638.950012,600.099976,631.549988,622.369202,7583086
2015-07-05,627,658.650024,623.349976,648,638.580078,7393855
2015-07-12,653,687.700012,651.950012,685.200012,675.239319,5614634
2015-07-19,685.549988,691.450012,660.099976,678.099976,668.242493,5125786
2015-07-26,676.75,724,665.099976,709.049988,698.742615,7697725
2015-08-02,713.799988,731.099976,703.099976,715.150024,704.753906,5783677
2015-08-09,717.400024,741.75,696.75,739.599976,728.848511,10019332
2015-08-16,744.950012,745,671.099976,697.400024,689.189087,20427096
2015-08-23,675,681.900024,605.700012,659.849976,652.081177,17533498
2015-08-30,659.799988,688.400024,644.099976,649.549988,641.902466,15267905
2015-09-06,656,668,623.5,653.150024,645.460083,8039073
2015-09-13,654.75,669,647.049988,652,644.323608,4909333
2015-09-20,648,653.299988,633.5,643.099976,635.528442,5904172
2015-09-27,648,653.849976,628.5,633.549988,626.09082,9468324
2015-10-04,639.650024,691.900024,633.650024,689.549988,681.431519,11314369
2015-10-11,692,692.799988,660,679.450012,671.450439,6572417
2015-10-18,679.5,689.700012,658.599976,682.200012,674.16803,11508452
2015-10-25,683.400024,704.900024,672.25,690.450012,682.320923,9226084
2015-11-01,688.950012,688.950012,651,658.150024,650.401245,6686092
2015-11-08,644.099976,649.700012,615.099976,617.900024,610.625122,4752945
2015-11-15,617.849976,648.900024,613.150024,646.849976,639.234253,4557199
2015-11-22,647.599976,648,633.099976,643.650024,636.072021,4217639
2015-11-29,643,661.400024,639,645.799988,638.196655,7040127
2015-12-06,647.950012,654,620,639.25,631.723694,4831689
2015-12-13,637.900024,649.299988,631.049988,642.099976,634.540161,5165645
2015-12-20,649.799988,654.400024,641.099976,648.200012,640.568359,1985520
2015-12-27,648.150024,660,647.200012,655.349976,647.634155,3174832
2016-01-03,652.049988,655.950012,614,622.349976,615.022705,4793636
2016-01-10,617.400024,617.400024,596.099976,609.099976,601.928711,5847354
2016-01-17,608,608.049988,576.549988,581.900024,575.049011,6036892
2016-01-24,590,592,572.299988,585.099976,578.211243,4376053
2016-01-31,591.900024,606.049988,540.049988,570.150024,563.437317,6491260
2016-02-07,574.950012,575.75,517.299988,528.599976,522.376465,12677064
2016-02-14,533.049988,549.5,513.400024,524.650024,518.473022,10078421
2016-02-21,529.349976,532.900024,510,524,517.830627,8830022
2016-02-28,528,545.599976,505,537.700012,531.369324,14851418
2016-03-06,537.700012,549.700012,521.349976,534.599976,528.305847,12202490
2016-03-13,538,543.75,516.200012,528.25,522.03064,15538658
2016-03-20,530,539,525.549988,532.799988,526.527039,4112152
2016-03-27,536.299988,537.349976,494.549988,514.549988,508.491913,17149334
2016-04-03,519,519,497,504.450012,498.510834,7040850
2016-04-10,505.5,515,497.049988,511.899994,505.873108,10194659
2016-04-17,515,536.549988,507.100006,531.349976,525.094116,11679585
2016-04-24,532.5,544.299988,523.5,537,530.677612,9292164
2016-05-01,536.950012,547,526.549988,537.349976,531.023438,5184124
2016-05-08,538.299988,542.450012,530.049988,531.700012,525.440002,3902033
2016-05-15,533.849976,533.849976,501.200012,507.100006,501.129639,4979581
2016-05-22,510,510,457.450012,473.450012,467.875824,26802713
2016-05-29,476.950012,479.25,459,465.200012,459.722961,7472627
2016-06-05,468.950012,486.600006,465.399994,476.450012,470.840485,7418495
2016-06-12,474.950012,492.549988,465.549988,486.450012,480.722748,7488145
2016-06-19,486.649994,490.899994,459.600006,476.549988,470.939301,6356090
2016-06-26,475,510,474,508.600006,502.611969,8346424
2016-07-03,510.700012,522.450012,502.700012,520.299988,514.174194,5652406
2016-07-10,525.400024,528.25,507,516.400024,510.32016,5797309
2016-07-17,517.049988,526.950012,500.549988,520.400024,514.27301,9534779
2016-07-24,514.049988,535.5,513,527.400024,521.190674,7471018
2016-07-31,528.799988,535,515.299988,533.25,526.971741,6075638
2016-08-07,533.900024,541.200012,512.099976,515.950012,509.875488,5435670
2016-08-14,515.950012,564,510.200012,556.799988,550.244446,15669863
2016-08-21,557,574.549988,552.049988,567.25,560.571411,10101282
2016-08-28,568.299988,587.5,562.900024,577.950012,571.145447,7598706
2016-09-04,577.950012,598.400024,575.099976,580.5,573.665466,6062978
2016-09-11,572.200012,596,562.299988,593.549988,586.561768,6315752
2016-09-18,594.900024,617.799988,593.25,611.549988,606.439209,8154074
2016-09-25,609,615,562.25,580.049988,575.202454,14021457
2016-10-02,584.700012,603.849976,566.5,570.049988,565.286072,6587326
2016-10-09,570.25,599,570.25,587,582.094421,5819274
2016-10-16,589,600.5,570,583.25,578.375732,6265693
2016-10-23,585,594.5,570.5,575.150024,570.343506,4328411
2016-10-30,575.150024,579.450012,538,544.700012,540.147888,3906097
2016-11-06,549.5,568,486.549988,547.950012,543.370789,10981285
2016-11-13,547.950012,564.849976,528.599976,550.950012,546.345703,4812827
2016-11-20,550,569.950012,542.099976,565.049988,560.32782,6717527
2016-11-27,569.299988,579.849976,563.5,571.200012,566.426453,5471611
2016-12-04,573.5,586,569.400024,578.900024,574.062134,4349438
2016-12-11,576.400024,582,559.099976,566.200012,561.468262,3684953
2016-12-18,565,589.150024,552,582.299988,577.433655,7071020
2016-12-25,581.299988,581.299988,548.099976,568.799988,564.046509,5572864
2017-01-01,569.75,591,562,582.849976,577.979126,3647652
2017-01-08,583.549988,589.099976,567.299988,583.400024,578.524536,3163392
2017-01-15,577.400024,593.400024,573.349976,577.599976,572.772949,3837094
2017-01-22,574.450012,591.400024,573,580.150024,575.301697,3235495
2017-01-29,578.700012,611.5,566.299988,607.900024,602.819763,5700020
2017-02-05,610.349976,621.25,576.799988,579.950012,575.103333,11398879
2017-02-12,582.700012,596.450012,571.150024,593.25,588.292175,5571685
2017-02-19,593.200012,597.75,582,592.400024,587.44928,3926611
2017-02-26,592,596.700012,581.349976,588.599976,583.68103,4756565
2017-03-05,592,595,583.049988,589.099976,584.17688,3723194
2017-03-12,589.099976,605.900024,589.099976,597.299988,592.30835,5845912
2017-03-19,597.5,601.5,582.200012,593.950012,588.986328,5393162
2017-03-26,597,600.849976,590,592.950012,587.99469,7197930
2017-04-02,595.299988,603.900024,585.150024,590,585.069336,6079922
2017-04-09,591,594.200012,570.650024,577.25,572.425903,5507763
