Date,Open,High,Low,Close,Adj Close,Volume,Percent Returns
2013-12-17,226.100006,233.5,224.050003,229.699997,223.192062,1495689,2.5250369343
2013-12-18,230.100006,237.5,230.100006,235.5,228.827744,2505774,-1.146504333
2013-12-19,236.75,237,229.550003,232.800003,226.204224,913780,-1.7826550401
2013-12-20,230.399994,235.550003,227.800003,228.649994,222.171783,1107056,0.1968238244
2013-12-23,229.050003,233.350006,228.600006,229.100006,222.60907,918680,-0.3928465269
2013-12-24,230,231.050003,227,228.199997,221.734558,988244,0.7668601662
2013-12-26,228.199997,232,228.199997,229.949997,223.434952,2084229,-0.217427934
2013-12-27,231.300003,232.5,226.649994,229.449997,222.949142,1050933,-0.2179147207
2013-12-30,231.800003,231.899994,228.100006,228.949997,222.463303,845697,0.2402369257
2013-12-31,230.050003,230.300003,228.199997,229.5,222.997742,486572,0.5664420584
2014-01-01,230,232.5,229.350006,230.800003,224.260895,538938,-1.9280731043
2014-01-02,229.5,235.949997,225.100006,226.350006,219.936981,1570396,0.4638751498
2014-01-03,226,228.75,224,227.399994,220.957214,818984,0.1759037385
2014-01-06,228,230.300003,225.550003,227.800003,221.345886,497192,-0.76821351
2014-01-07,230,230.899994,224.800003,226.050003,219.645477,713955,-1.4598579692
2014-01-08,226.899994,226.949997,222.100006,222.75,216.438965,878308,0.4938334463
2014-01-09,225.149994,227.449997,221.399994,223.850006,217.507813,1126716,-1.6082259077
2014-01-10,224,227.25,219,220.25,214.009796,983757,0.3859299973
2014-01-13,221,223.399994,214.100006,221.100006,214.835724,1253786,-0.0452289769
2014-01-14,221.25,222.399994,220,221,214.738556,364394,-1.3348511108
2014-01-15,221.149994,222.25,216.149994,218.050003,211.872116,1060362,0.0687924408
2014-01-16,218.050003,219.699997,216.649994,218.199997,212.017868,809129,-0.5270315236
2014-01-17,216.699997,220.75,216.550003,217.050003,210.900467,645915,-0.253401051
2014-01-20,216.100006,217.949997,215,216.5,210.366043,392820,0.6004695349
2014-01-21,217,220.300003,216.100006,217.800003,211.629227,875408,-0.2066070959
2014-01-22,217.199997,219.25,216.25,217.350006,211.191986,656092,3.6806870124
2014-01-23,216.75,227.399994,216.199997,225.350006,218.965302,2570554,-2.9509670898
2014-01-24,226.399994,227.899994,218,218.699997,212.503708,2042034,-1.3031494961
2014-01-27,217,218,212.350006,215.850006,209.734467,830741,0.5327693707
2014-01-28,216.5,218.600006,214.949997,217,210.851868,440878,-1.0829413188
2014-01-29,218.399994,219,212,214.649994,208.568466,1075952,3.7968817395
2014-01-30,210,224.399994,202.449997,222.800003,216.487564,5930481,-0.5610483935
2014-01-31,222.800003,223.5,216.649994,221.550003,215.272964,1223691,-0.7221933359
2014-02-03,220.149994,227.5,218.649994,219.949997,213.718277,1428280,0.8183778311
2014-02-04,218.699997,225.899994,217.100006,221.75,215.4673,1093372,-0.3833189537
2014-02-05,221.199997,224,219,220.899994,214.641373,545189,2.1050368514
2014-02-06,221.899994,226.199997,219.350006,225.550003,219.159653,977396,0.066490797
2014-02-07,226.050003,228.600006,223.149994,225.699997,219.305374,1025574,2.3261048769
2014-02-10,225,233.75,223.600006,230.949997,224.406647,1757160,0.5845357156
2014-02-11,231.25,235.649994,230.100006,232.300003,225.718384,1510573,-0.860952912
2014-02-12,233,233.800003,228.600006,230.300003,223.775055,714283,-0.4124968263
2014-02-13,230,232,226.600006,229.350006,222.85199,755689,0.9592375639
2014-02-14,230,232.600006,226.649994,231.550003,224.98967,723069,-1.1228813305
2014-02-17,233.649994,236.300003,225.149994,228.949997,222.463303,2328888,-0.1310418375
2014-02-18,231,231,225.949997,228.649994,222.171783,609396,1.7275393608
2014-02-19,228.899994,233.899994,228.199997,232.600006,226.009888,1306199,0.6663748269
2014-02-20,233,237.800003,231.100006,234.149994,227.515961,1303544,-0.0427016195
2014-02-21,235.199997,236.800003,232.800003,234.050003,227.418808,691017,0.704972915
2014-02-24,234.699997,237.5,231.5,235.699997,229.022049,729670,3.1820172039
2014-02-25,237.350006,244.300003,236.5,243.199997,236.30957,2388002,0.9868415401
2014-02-26,244.5,247.300003,242.5,245.600006,238.641571,1495138,-1.2622176377
2014-02-28,246.100006,246.899994,240.050003,242.5,235.629395,716553,2.7835007597
2014-03-03,242.5,251.5,239.5,249.25,242.188141,2029854,2.2266887131
2014-03-04,250.5,258.399994,250.300003,254.800003,247.580917,2544333,-3.5910530213
2014-03-05,252.550003,252.850006,244,245.649994,238.690155,1424629,0.4681516923
2014-03-06,245.600006,250.600006,243.149994,246.800003,239.807587,1075669,3.3225245705
2014-03-07,249.600006,256.399994,246,255,247.775253,1893634,-1.7451012349
2014-03-10,254,258.5,249.300003,250.550003,243.451324,1527237,-0.718422053
2014-03-11,252.25,254.5,247,248.75,241.702316,1189688,1.4070336835
2014-03-12,248.5,257,248.399994,252.25,245.103149,1350784,-0.2378496573
2014-03-13,254,258.5,248.399994,251.649994,244.520172,1672077,0.5960547091
2014-03-14,251.75,254.350006,248.5,253.149994,245.977646,653400,0.8690667769
2014-03-18,254.949997,257,253.149994,255.350006,248.115356,1294867,-0.1958117417
2014-03-19,256,257.25,251.550003,254.850006,247.629517,829853,-0.5689693285
2014-03-20,257,262.450012,252,253.399994,246.220581,2161044,0.6314143171
2014-03-21,256.399994,257.399994,253.399994,255,247.775253,948531,-0.8235394678
2014-03-24,254.300003,258.5,251.149994,252.899994,245.734726,637996,0.9885391615
2014-03-25,253.050003,257.299988,253.050003,255.399994,248.16391,654922,-2.6037605549
2014-03-26,256,256.899994,248.199997,248.75,241.702316,658823,2.0301572121
2014-03-27,249.199997,254.649994,246.100006,253.800003,246.609253,1316243,-0.2561165051
