Date,Open,High,Low,Close,Adj Close,Volume,Percent Returns
2013-10-03,75.5,77.150002,75.199997,76.264999,55.908806,10014540,1.521012629
2013-10-04,75.525002,77.989998,75.309998,77.425003,56.759186,13942990,1.6984105445
2013-10-07,76.724998,79.385002,76.404999,78.739998,57.72319,12117930,-1.0477400851
2013-10-08,79.010002,80.394997,77.099998,77.915001,57.118401,13764370,1.5786278751
2013-10-09,76.995003,79.300003,76.309998,79.144997,58.020088,9387620,-0.7581046757
2013-10-10,78.404999,79.800003,78.059998,78.544998,57.580235,8464890,-0.6110916359
2013-10-11,79.5,79.775002,77.400002,78.065002,57.228367,6937590,-0.4931924757
2013-10-14,77.980003,78.785004,77.370003,77.68,56.946121,5733220,1.538375195
2013-10-15,77.709999,79.699997,77.089996,78.875,57.822166,9291580,-0.4437467804
2013-10-17,78.555,80.290001,78.099998,78.525002,57.565582,8734580,3.2792024929
2013-10-18,78.099998,81.790001,78.099998,81.099998,59.453274,11303760,3.3723727309
2013-10-21,81.254997,84.139999,80.57,83.834999,61.45826,11208760,0.1431508149
2013-10-22,83.5,84.790001,83.184998,83.955002,61.546238,8909740,0.0833828381
2013-10-23,84.154999,84.82,82.805,84.025002,61.597557,7605360,0.7140640334
2013-10-24,83.849998,86.199997,83.834999,84.625,62.037403,9904300,0.4903977041
2013-10-25,84,85.75,84,85.040001,62.341633,9174560,1.0289319819
2013-10-28,85.209999,86.370003,85.199997,85.915001,62.983086,9583350,0.389911031
2013-10-29,85.900002,87.589996,84.5,86.25,63.228664,17697490,-1.5767943476
2013-10-30,86.055,86.400002,84.224998,84.889999,62.231678,8131080,1.4783676571
2013-10-31,84.599998,87.050003,84.279999,86.144997,63.151691,14924560,0.4527321367
2013-11-01,85.5,88.599998,85.5,86.535004,63.437599,11476050,0.1848793174
2013-11-05,85.720001,87.495003,84.614998,86.695,63.554882,7785270,-0.363325354
2013-11-06,86.324997,87.449997,85.699997,86.379997,63.323971,5796760,0.6656689297
2013-11-07,86.105003,88.5,86.105003,86.955002,63.745499,9543140,-0.3622640086
2013-11-08,86.300003,87.845001,85.915001,86.639999,63.514572,9859210,-1.1426448721
